ingredient_name,category,risk_level,explanation,caution_group,allergen_type
Sugar,Natural Sweetener,Moderate,Raises blood glucose levels when consumed in excess,Diabetic individuals,NULL
Salt,Natural Mineral,Low,Essential mineral but excess intake increases blood pressure,Hypertension patients,NULL
Wheat flour,Natural Ingredient,Moderate,Contains gluten protein which may cause intolerance,People with celiac disease,Gluten
Milk powder,Natural Ingredient,Moderate,Dairy product containing lactose and milk proteins,Lactose intolerant individuals,Dairy
Aspartame,Artificial Sweetener,High,Artificial sugar substitute affecting glucose metabolism,Diabetic individuals; PKU patients,NULL
MSG (Monosodium Glutamate),Flavor Enhancer,Moderate,Enhances taste but may trigger sensitivity in some individuals,MSG-sensitive individuals,NULL
Citric acid,Preservative,Low,Used as acidity regulator and preservative,Generally safe,NULL
Sodium benzoate,Preservative,Moderate,Prevents microbial growth but may cause sensitivity,Sensitive individuals,NULL
Tartrazine (E102),Artificial Color,High,Synthetic food coloring linked to allergic reactions,Children; allergy-prone individuals,NULL
Palm oil,Vegetable Oil,Moderate,High saturated fat content impacting heart health,Heart patients,NULL
Soy lecithin,Emulsifier,Moderate,Helps mix ingredients but may trigger soy allergies,Soy allergy patients,Soy
Artificial flavor,Flavor Additive,Moderate,Synthetic compound used to enhance taste,Sensitive individuals,NULL
High fructose corn syrup,Artificial Sweetener,High,Rapidly increases blood glucose levels,Diabetic individuals,NULL
Potassium sorbate,Preservative,Low,Prevents mold and yeast growth in food,Generally safe,NULL
Calcium carbonate,Stabilizer,Low,Used to stabilize and fortify food products,Generally safe,NULL
Sodium nitrate,Preservative,High,Used in processed meats may form harmful compounds,General population (long-term risk),NULL
Caramel color,Artificial Color,Moderate,Used for coloring food products,Sensitive individuals,NULL
Maltodextrin,Additive,Moderate,Processed carbohydrate affecting blood sugar levels,Diabetic individuals,NULL
Guar gum,Stabilizer,Low,Thickening agent derived from guar beans,Generally safe,NULL
Xanthan gum,Stabilizer,Low,Thickening agent used in food products,Generally safe,NULL
Artificial sweetener (Sucralose),Artificial Sweetener,High,Synthetic sugar substitute affecting metabolism,Diabetic individuals,NULL
Corn starch,Natural Ingredient,Low,Used as thickener and stabilizer,Generally safe,NULL
Skim milk solids,Natural Ingredient,Moderate,Dairy protein source,Lactose intolerant individuals,Dairy
Peanut oil,Vegetable Oil,High,May trigger severe allergic reactions,Peanut allergy patients,Nut
Egg powder,Natural Ingredient,Moderate,Protein source but allergenic to some individuals,Egg allergy patients,Egg
Sodium bicarbonate,Stabilizer,Low,Used as raising agent in baking,Generally safe,NULL
BHA (Butylated hydroxyanisole),Preservative,High,Synthetic antioxidant linked to long-term risks,General population (long-term risk),NULL
BHT (Butylated hydroxytoluene),Preservative,High,Synthetic preservative used to extend shelf life,General population (long-term risk),NULL
Natural flavor,Flavor Additive,Low,Derived from natural sources for flavor enhancement,Generally safe,NULL
Casein,Milk Protein,Moderate,Milk-derived protein causing allergic reactions,Dairy allergy patients,Dairy
Sunflower oil,Vegetable Oil,Low,Common cooking oil generally safe when consumed in moderation,Generally safe,NULL
Invert sugar,Sweetener,Moderate,Processed sugar that raises blood glucose quickly,Diabetic individuals,NULL
Glucose syrup,Sweetener,High,Rapidly absorbed sugar increasing blood glucose levels,Diabetic individuals,NULL
Fructose,Sweetener,Moderate,Natural sugar but excessive intake impacts metabolism,Diabetic individuals,NULL
Sucrose,Sweetener,Moderate,Common table sugar affecting blood glucose levels,Diabetic individuals,NULL
Lactose,Milk Sugar,Moderate,Milk sugar causing digestive issues in lactose intolerant individuals,Lactose intolerant individuals,Dairy
Caseinate,Milk Protein,Moderate,Milk-derived protein triggering allergic reactions,Dairy allergy patients,Dairy
Sodium chloride,Natural Mineral,Low,Common salt essential in small amounts but harmful in excess,Hypertension patients,NULL
Potassium nitrate,Preservative,High,Used in processed foods may form harmful compounds over time,General population (long-term risk),NULL
Annatto,Natural Color,Low,Natural coloring agent generally safe for consumption,Generally safe,NULL
Beta carotene,Natural Color,Low,Natural pigment and vitamin precursor safe in moderate amounts,Generally safe,NULL
Titanium dioxide,Artificial Color,High,Whitening agent with potential long-term safety concerns,General population (long-term risk),NULL
Polysorbate 80,Emulsifier,Moderate,Used to stabilize food mixtures may cause sensitivity,Sensitive individuals,NULL
Mono and diglycerides,Emulsifier,Moderate,Helps blend ingredients but may affect lipid metabolism,Heart patients,NULL
Sodium citrate,Acidity Regulator,Low,Controls acidity levels and stabilizes food,Generally safe,NULL
Calcium propionate,Preservative,Moderate,Prevents mold growth but may cause sensitivity,Sensitive individuals,NULL
Propylene glycol,Stabilizer,Moderate,Used to retain moisture may cause irritation in excess,Sensitive individuals,NULL
Acesulfame potassium,Artificial Sweetener,High,Synthetic sugar substitute affecting metabolic response,Diabetic individuals,NULL
Neotame,Artificial Sweetener,High,Highly potent artificial sweetener affecting metabolism,Diabetic individuals,NULL
Carrageenan,Stabilizer,Moderate,Used for thickening may cause digestive discomfort,Sensitive individuals,NULL
Pectin,Stabilizer,Low,Natural thickening agent derived from fruits,Generally safe,NULL
Gelatin,Protein Additive,Moderate,Animal-derived protein causing allergic reactions in some individuals,Sensitive individuals,NULL
Cocoa butter,Natural Fat,Low,Natural fat from cocoa generally safe in moderate amounts,Generally safe,NULL
Buttermilk powder,Dairy Ingredient,Moderate,Dairy-based ingredient causing lactose intolerance issues,Lactose intolerant individuals,Dairy
Whey protein,Dairy Protein,Moderate,Milk-derived protein causing allergic reactions,Dairy allergy patients,Dairy
Soy protein,Soy Ingredient,Moderate,Plant protein triggering soy allergies,Soy allergy patients,Soy
Almond oil,Nut Oil,High,Oil derived from almonds triggering severe nut allergies,Nut allergy patients,Nut
Rice starch,Natural Ingredient,Low,Used as thickening agent generally safe,Generally safe,NULL
Vegetable shortening,Fat Additive,Moderate,Processed fat affecting cardiovascular health,Heart patients,NULL
Disodium inosinate,Flavor Enhancer,Moderate,Enhances savory taste often used with MSG,Sensitive individuals,NULL
Disodium guanylate,Flavor Enhancer,Moderate,Flavor enhancer used in processed foods,Sensitive individuals,NULL
Modified starch,Stabilizer,Low,Processed starch used to improve texture,Generally safe,NULL
Hydrogenated vegetable oil,Fat Additive,High,Contains trans fats increasing cardiovascular risk,Heart patients,NULL
Partially hydrogenated oil,Fat Additive,High,Source of trans fats harmful for heart health,Heart patients,NULL
Corn syrup solids,Sweetener,High,Concentrated sugar source raising blood glucose,Diabetic individuals,NULL
Dextrose,Sweetener,High,Simple sugar rapidly increasing blood glucose,Diabetic individuals,NULL
Liquid glucose,Sweetener,High,Refined glucose used as sweetener,Diabetic individuals,NULL
Artificial vanilla flavor,Flavor Additive,Moderate,Synthetic flavor compound,Sensitive individuals,NULL
Ethyl vanillin,Flavor Additive,Moderate,Artificial vanilla flavoring agent,Sensitive individuals,NULL
Vanillin,Flavor Additive,Low,Flavor compound used in vanilla flavoring,Generally safe,NULL
Acetic acid,Acidity Regulator,Low,Used to control acidity and preserve food,Generally safe,NULL
Lactic acid,Acidity Regulator,Low,Controls acidity and improves shelf life,Generally safe,NULL
Malic acid,Acidity Regulator,Low,Used to enhance flavor and acidity,Generally safe,NULL
Phosphoric acid,Acidity Regulator,Moderate,Used in soft drinks affecting dental health,General population,NULL
Sodium phosphate,Stabilizer,Moderate,Used as stabilizer affecting mineral balance,Sensitive individuals,NULL
Calcium phosphate,Stabilizer,Low,Used as anti-caking and fortifying agent,Generally safe,NULL
Magnesium carbonate,Anti-caking Agent,Low,Prevents clumping in powdered foods,Generally safe,NULL
Silicon dioxide,Anti-caking Agent,Low,Prevents clumping in powders,Generally safe,NULL
Glycerol,Humectant,Moderate,Maintains moisture content in food,Sensitive individuals,NULL
Propionic acid,Preservative,Moderate,Prevents mold growth,Sensitive individuals,NULL
Benzoic acid,Preservative,Moderate,Prevents bacterial growth,Sensitive individuals,NULL
Sorbitol,Artificial Sweetener,Moderate,Sugar alcohol affecting digestion,Sensitive individuals,NULL
Mannitol,Artificial Sweetener,Moderate,Sugar substitute causing digestive discomfort,Sensitive individuals,NULL
Isomalt,Artificial Sweetener,Moderate,Sugar substitute affecting digestion,Sensitive individuals,NULL
Polydextrose,Additive,Moderate,Used as fiber substitute,Sensitive individuals,NULL
Yeast extract,Flavor Enhancer,Moderate,Enhances savory taste,Sensitive individuals,NULL
Malt extract,Flavor Additive,Moderate,Derived from grains may affect glucose,Diabetic individuals,Gluten
Barley malt extract,Flavor Additive,Moderate,Derived from barley affecting gluten sensitive individuals,Celiac patients,Gluten
Chocolate liquor,Natural Ingredient,Low,Processed cocoa product,Generally safe,NULL
Cocoa powder,Natural Ingredient,Low,Processed cocoa used in chocolate products,Generally safe,NULL
Butter oil,Dairy Fat,Moderate,Milk fat affecting lactose sensitive individuals,Lactose intolerant individuals,Dairy
Cream powder,Dairy Ingredient,Moderate,Dairy product causing lactose intolerance,Lactose intolerant individuals,Dairy
Milk solids,Dairy Ingredient,Moderate,Contains lactose and milk proteins,Lactose intolerant individuals,Dairy
Vegetable glycerin,Humectant,Low,Maintains moisture in food products,Generally safe,NULL
Lecithin,Emulsifier,Moderate,Helps mix ingredients may cause soy allergy,Soy allergy patients,Soy
Ammonium bicarbonate,Leavening Agent,Low,Used in baking to produce gas,Generally safe,NULL
Sodium acid pyrophosphate,Leavening Agent,Moderate,Used in baking affecting mineral balance,Sensitive individuals,NULL
Potassium bromate,Flour Treatment Agent,High,Linked to potential carcinogenic risk,General population,NULL
Azodicarbonamide,Flour Treatment Agent,High,Used to improve dough quality,Sensitive individuals,NULL
Aluminium ammonium sulfate,Stabilizer,Moderate,Used in baking powder as leavening stabilizer,Sensitive individuals,NULL
Aluminium sodium sulfate,Stabilizer,Moderate,Common additive in baking powders,Sensitive individuals,NULL
Sodium sulfite,Preservative,High,Used to prevent discoloration and microbial growth in processed foods,Sensitive individuals,NULL
Calcium acetate,Preservative,Moderate,Used to control acidity and extend shelf life,Sensitive individuals,NULL
Potassium acetate,Preservative,Moderate,Acidity regulator used in processed foods,Sensitive individuals,NULL
Sodium malate,Acidity Regulator,Low,Used to control acidity and improve flavor balance,Generally safe,NULL
Potassium malate,Acidity Regulator,Low,Used in beverages and candies for acidity control,Generally safe,NULL
Calcium malate,Stabilizer,Low,Used as mineral supplement and stabilizer,Generally safe,NULL
Sodium gluconate,Stabilizer,Low,Used to stabilize food formulations,Generally safe,NULL
Potassium gluconate,Stabilizer,Low,Used as mineral additive in processed foods,Generally safe,NULL
Calcium gluconate,Stabilizer,Low,Used for calcium fortification,Generally safe,NULL
Ammonium carbonate,Leavening Agent,Moderate,Used in bakery products as raising agent,Sensitive individuals,NULL
Sodium aluminum sulfate,Stabilizer,Moderate,Used in baking powders and processed foods,Sensitive individuals,NULL
Potassium aluminum sulfate,Stabilizer,Moderate,Used in baking powders and pickling,Sensitive individuals,NULL
Sodium stearate,Emulsifier,Moderate,Helps maintain uniform mixture in processed foods,Sensitive individuals,NULL
Glyceryl monostearate,Emulsifier,Moderate,Used to improve texture in bakery and confectionery,Sensitive individuals,NULL
Glyceryl distearate,Emulsifier,Moderate,Used to stabilize fats and oils,Sensitive individuals,NULL
Sucrose acetate isobutyrate,Stabilizer,Moderate,Used in soft drinks to stabilize flavor oils,Sensitive individuals,NULL
Brominated vegetable oil,Stabilizer,High,Used in citrus flavored drinks to stabilize emulsions,General population (long-term risk),NULL
Ethyl cellulose,Stabilizer,Low,Used to improve texture and stability,Generally safe,NULL
Hydroxypropyl cellulose,Stabilizer,Low,Used as thickener and stabilizer,Generally safe,NULL
Hydroxypropyl methylcellulose,Stabilizer,Low,Used as thickening agent in processed foods,Generally safe,NULL
Microcrystalline cellulose,Stabilizer,Low,Used to improve texture and stability,Generally safe,NULL
Cellulose gum,Stabilizer,Low,Used as thickener in sauces and beverages,Generally safe,NULL
Calcium peroxide,Flour Treatment Agent,Moderate,Used to bleach and improve flour quality,Sensitive individuals,NULL
Benzoyl peroxide,Flour Treatment Agent,Moderate,Used to whiten flour in processed foods,Sensitive individuals,NULL
Ammonium persulfate,Flour Treatment Agent,Moderate,Used to strengthen dough in baking,Sensitive individuals,NULL
Potassium persulfate,Flour Treatment Agent,Moderate,Used as dough conditioner,Sensitive individuals,NULL
Sodium erythorbate,Antioxidant,Low,Used to preserve color and flavor in processed foods,Generally safe,NULL
Calcium ascorbate,Antioxidant,Low,Used as antioxidant and vitamin C source,Generally safe,NULL
Potassium ascorbate,Antioxidant,Low,Used to prevent oxidation in processed foods,Generally safe,NULL
Ascorbyl palmitate,Antioxidant,Moderate,Fat soluble antioxidant used in oils and snacks,Sensitive individuals,NULL
Carbonated water,Base Ingredient,Low,Carbon dioxide infused water used as base in soft drinks and energy drinks,Generally safe,NULL
Taurine,Functional Additive,Moderate,Amino acid commonly added to energy drinks to support energy metabolism,Sensitive individuals,NULL
Caffeine,Stimulant,Moderate,Natural stimulant affecting the central nervous system and increasing alertness,Children; caffeine-sensitive individuals,NULL
Niacin (Vitamin B3),Vitamin Additive,Low,Essential B vitamin used in beverages for energy metabolism support,Generally safe,NULL
Pantothenic acid (Vitamin B5),Vitamin Additive,Low,B vitamin used to support metabolic processes and energy production,Generally safe,NULL
Vitamin B6 (Pyridoxine),Vitamin Additive,Low,Essential vitamin supporting brain development and metabolism,Generally safe,NULL
Vitamin B2 (Riboflavin),Vitamin Additive,Low,Vitamin involved in energy production and cellular function,Generally safe,NULL
Vitamin B12 (Cobalamin),Vitamin Additive,Low,Vitamin important for nerve function and red blood cell production,Generally safe,NULL
Cumin,Spice,Low,Common Indian spice used for flavor and digestion support,General consumers,NULL
Cinnamon,Spice,Low,Aromatic spice used in sweets and beverages,General consumers,NULL
Almond,Nut,Moderate,Tree nut used in beverages and desserts,People with nut allergy,Tree Nut
Sesame oil,Edible Oil,Moderate,Vegetable oil extracted from sesame seeds,People with sesame allergy,Sesame
Rava,Grain Product,Low,Coarsely ground wheat semolina used in snacks and sweets,People with gluten intolerance,Gluten
Palmolein oil,Edible Oil,Moderate,Refined palm oil commonly used for frying,Heart patients,NULL
Edible vegetable fat,Fat Source,Moderate,Processed vegetable fat used for texture and shelf life,Heart patients,NULL
Acidity regulator,Food Additive,Low,Used to control acidity and maintain pH in foods,General consumers,NULL
Raising agents,Leavening Agent,Low,Substances like baking soda that help dough rise,General consumers,NULL
Dough conditioner,Food Additive,Low,Improves dough texture and baking performance,General consumers,NULL
Carbon dioxide,Propellant,Low,Gas used in carbonated beverages,General consumers,NULL
Orange juice,Fruit Ingredient,Low,Natural juice extracted from oranges used in beverages,General consumers,NULL
Fruit juice,Fruit Ingredient,Low,Juice extracted from fruits used for flavor and nutrition,General consumers,NULL
Orange fruit powder,Fruit Ingredient,Low,Dehydrated orange powder used for flavoring,General consumers,NULL
Bay leaves,Spice,Low,Aromatic leaf used in Indian cooking for flavor,General consumers,NULL
Asafoetida,Spice,Moderate,Strong spice used in Indian cooking which may cause sensitivity,Sensitive individuals,NULL
Herbs,Flavoring Ingredient,Low,Plant leaves used for flavoring foods,General consumers,NULL
Gelling agent,Food Additive,Low,Substance used to thicken or stabilize food texture,General consumers,NULL
Nature identical flavouring substance,Flavoring Agent,Low,Synthetic flavor chemically identical to natural flavor,General consumers,NULL
Artificial flavouring substances,Flavoring Agent,Moderate,Lab-created flavor compounds used to enhance taste,Sensitive individuals,NULL
Colour,Food Additive,Moderate,Used to enhance or restore color in food products,Children and sensitive individuals,NULL
Fruit puree,Fruit Ingredient,Low,Blended fruit used in desserts and beverages,General consumers,NULL
Cocoa,Flavoring Ingredient,Low,Chocolate flavor ingredient derived from cocoa beans,General consumers,NULL
Peanuts,Nut,Moderate,Legume widely used in snacks but common allergen,People with peanut allergy,Peanut
Gram dal,Legume Ingredient,Low,Split chickpeas used in Indian snacks,General consumers,NULL
Moth dal,Legume Ingredient,Low,Protein rich lentil used in Indian snacks,General consumers,NULL
Chili,Spice,Moderate,Hot spice used to add heat and flavor to foods,People with gastric sensitivity,NULL
Spices,Flavoring Ingredient,Low,Mix of plant spices used to enhance taste and aroma,General consumers,NULL
Cardamom,Spice,Low,Aromatic spice used in sweets and beverages,General consumers,NULL
Saffron,Spice,Low,Premium spice used for flavor and natural color,General consumers,NULL
Skimmed milk powder,Dairy Ingredient,Moderate,Low fat milk powder used in dairy products,Lactose intolerant individuals,Milk
Stabilizer,Food Additive,Low,Helps maintain texture and consistency in processed foods,General consumers,NULL
Thickener,Food Additive,Low,Substance added to increase viscosity of food products,General consumers,NULL
Preservative,Food Additive,Moderate,Added to prevent spoilage and extend shelf life,Sensitive individuals,NULL
Antioxidant,Food Additive,Low,Prevents oxidation and maintains freshness of food products,General consumers,NULL
Caramel colour,Food Colour,Moderate,Brown colouring agent used in beverages and sauces,Children and sensitive individuals,NULL
Annatto colour,Food Colour,Low,Natural colour derived from annatto seeds used in dairy products,General consumers,NULL
Paprika extract,Food Colour,Low,Natural red colour extracted from paprika peppers,General consumers,NULL
Yeast,Leavening Agent,Low,Microorganism used in baking and fermentation processes,General consumers,NULL
Baking soda,Leavening Agent,Low,Sodium bicarbonate used to make baked goods rise,General consumers,NULL
Baking powder,Leavening Agent,Low,Combination leavening agent used in baking products,General consumers,NULL
Vinegar,Acidity Regulator,Low,Acidic liquid used for flavor and preservation,General consumers,NULL
Tomato paste,Vegetable Ingredient,Low,Concentrated tomato used in sauces and snacks,General consumers,NULL
Onion powder,Flavoring Ingredient,Low,Dehydrated onion used to enhance flavor,General consumers,NULL
Garlic powder,Flavoring Ingredient,Low,Dehydrated garlic powder used in seasoning mixes,General consumers,NULL
Black pepper,Spice,Low,Common spice used for flavor and mild heat,General consumers,NULL
Mustard seeds,Spice,Moderate,Spice used in Indian cooking that may trigger allergies,Sensitive individuals,Mustard
